fornecedor,descricao,unidade,cnpj,valor_unit,valor_mes,obs
ALLIED IT,outsourcing notebook,LOCAGORA BH ,48449181000164,250.0,1250.0,
ALLIED IT,outsourcing notebook,LOCAGORA FREGUESIA ,57129904000139,250.0,10000.0,
BRICK,sistema de consulta ,LOCAGORA BH,48449181000164,0,39834.68,
CHAT PRO,sistema de pronta resposta,Zona Sul,48449181000164,0,600.0,
CHAT PRO,sistema de pronta resposta,LOCAGORA CANINDE,54248957000180,0,693.0,
CLARO,link de internet limão ,LOCAGORA CANINDE,54248957000180,0,104.9,
CLARO,link de internet caninde,LOCAGORA CANINDE,54248957000180,0,115.28,
CLARO,link de internet barueri,LOCAGORA CANINDE,54248957000180,0,84.9,
CLARO,link de internet/ RIbeiro de Morais,LOCCEL FREGUESIA,57228691000100,0,115.0,
CLARO,linhas corporativas,LOCCEL FREGUESIA,57228691000100,49.99,2545.34,
CLARO,linhas corporativas,LOCAGORA BH - MATRIZ,48449181000164,49.99,2420.35,
CLARO,linhas corporativas,LOCAGORA CANINDE,54248957000180,0,454.08,
CLARO,linhas corporativas,LOCAGORA FREGUESIA ,57129904000139,0,1420.16,
CLARO,linhas corporativas,LOCAGORA TATUAPE,58135325000161,0,1286.64,
CTI,link de internet dedicado,LOCAGORA FREGUESIA ,57129904000139,0,3650.0,
CTI,link de internet dedicado,LOCALPHA PERFORMANCE LTDA,62453377000153,0,1500.0,
CTI,link de internet dedicado,LOCAGORA SAO PAULO III LTDA,59906955000155,0,1250.0,
DISTRIFILM,outsourcing notebook,LOCAGORA CANINDE ,54248957000180,0,3450.0,
MULTIEDRO - GOOGLE,contrato,LOCAGORA BH ,48449181000164,0,5054.0,
MULTIEDRO - GOOGLE,contrato,LOCCEL FREGUESIA,57228691000100,0,5539.2,
MULTIEDRO - GOOGLE,suporte ,LOCCEL FREGUESIA,57228691000100,0,343.26,
MULTIEDRO - GOOGLE,contrato ,LOCAGORA FREGUESIA ,57129904000139,0,4151.4,
MULTIEDRO - GOOGLE,contrato,LOCAGORA BH ,48449181000164,0,4151.4,
MULTIEDRO - GOOGLE,suporte,LOCAGORA FREGUESIA ,57129904000139,0,257.44,
MULTIEDRO - GOOGLE,suporte ,LOCAGORA BH ,48449181000164,0,257.44,
SND,urmobo  MDM,LOCCEL FREGUESIA,57228691000100,0,11799.2,
WEBPRESTADOR,solicitação de recolhimento,LOCAGORA FREGUESIA,57129904000139,0,189.9,
VIVO,link de internet,LOCAGORA FREGUESIA,57129904000139,0,89.99,
VIVO,link de internet,LOCAGORA BH,48449181000164,0,163.16,
VIVO,linhas corporativas,LOCAGORA BH,48449181000164,0,132.4,
VIVO,linhas corporativas,LOCAGORA BH,54248957000180,0,823.4,
VIVO,link de internet,TATUAPE,58135325000161,0,295.56,
